event,utc,epoch,step,train_accuracy,test_accuracy,train_logistic_loss,test_logistic_loss,objective,elapsed_seconds
training,2026-09-22T18:37:36.675379+00:00,0,0,0.5,0.5,0.6931475423177084,0.693147216796875,8317.7705078125,0.48098403587937355
training,2026-09-22T18:37:37.381822+00:00,1,94,0.9525833333333333,0.9425,0.41865083821614585,0.421080810546875,6356.1381708388235,1.1874296106398106
training,2026-09-22T18:37:37.647087+00:00,2,188,0.9564166666666667,0.945,0.3710278727213542,0.37404315185546877,6118.764401484471,1.452544649131596
training,2026-09-22T18:37:37.911567+00:00,3,282,0.9576666666666667,0.947,0.344505859375,0.34790887451171876,6010.991736557904,1.7171777011826634
training,2026-09-22T18:37:38.175625+00:00,4,376,0.9586666666666667,0.948,0.32644972737630207,0.3301360473632812,5950.293656291214,1.9812357760965824
training,2026-09-22T18:37:38.440094+00:00,5,470,0.9594166666666667,0.948,0.31294258626302085,0.31684274291992187,5912.39793175716,2.245704973116517
training,2026-09-22T18:37:38.704980+00:00,6,564,0.95975,0.948,0.30225970458984375,0.3063304748535156,5887.545100384133,2.5105917118489742
training,2026-09-22T18:37:38.969892+00:00,7,658,0.9600833333333333,0.948,0.2934765421549479,0.29769415283203127,5870.8658733966295,2.775502166710794
training,2026-09-22T18:37:39.234740+00:00,8,752,0.9605833333333333,0.9485,0.28605196126302085,0.29039907836914064,5859.624169499266,3.040352361276746
training,2026-09-22T18:37:39.499735+00:00,9,846,0.9608333333333333,0.9485,0.2796495564778646,0.28410891723632814,5852.147764295691,3.3053455790504813
training,2026-09-22T18:37:39.766163+00:00,10,940,0.9610833333333333,0.9485,0.27403619384765626,0.27859542846679686,5847.364466981327,3.571761875413358
training,2026-09-22T18:37:40.031413+00:00,11,1034,0.9614166666666667,0.9485,0.26905169677734375,0.273701416015625,5844.598123254963,3.836993678472936
training,2026-09-22T18:37:40.295561+00:00,12,1128,0.9616666666666667,0.9485,0.26458111572265625,0.2693131103515625,5843.347898629132,4.1011719619855285
training,2026-09-22T18:37:40.560928+00:00,13,1222,0.96175,0.9485,0.2605349934895833,0.2653424377441406,5843.2802519667375,4.366539126262069
training,2026-09-22T18:37:40.826381+00:00,14,1316,0.9618333333333333,0.949,0.25684529622395835,0.261721923828125,5844.137900905984,4.631991938687861
training,2026-09-22T18:37:41.092190+00:00,15,1410,0.9620833333333333,0.9495,0.2534588623046875,0.2583994140625,5845.716316533556,4.897801429964602
training,2026-09-22T18:37:41.357513+00:00,16,1504,0.9625833333333333,0.95,0.25033492024739584,0.25533460998535157,5847.872902140898,5.163124999962747
training,2026-09-22T18:37:41.622068+00:00,17,1598,0.9629166666666666,0.95,0.24743809000651043,0.2524927825927734,5850.496489801593,5.427678983658552
training,2026-09-22T18:37:41.887656+00:00,18,1692,0.963,0.95,0.244739990234375,0.24984657287597656,5853.498863698922,5.693267337046564
training,2026-09-22T18:37:42.153540+00:00,19,1786,0.9630833333333333,0.951,0.2422179158528646,0.24737297058105467,5856.80626967187,5.959152903407812
training,2026-09-22T18:37:42.419247+00:00,20,1880,0.9631666666666666,0.951,0.23985194905598958,0.2450526580810547,5860.365945651484,6.2248587710782886
training,2026-09-22T18:37:42.685173+00:00,21,1974,0.9633333333333334,0.951,0.23762567138671875,0.2428693389892578,5864.123118553909,6.490784757770598
training,2026-09-22T18:37:42.951127+00:00,22,2068,0.9634166666666667,0.9515,0.23552463785807293,0.24080862426757813,5868.040740196378,6.7567388052120805
